Op Batch No,Actual Product,Actual Tdc,Segment,Prop Ip Wt,O/P Wt,Total Length,Area,Zinc,Process Duration(in min),CRFH thickness(mm),GP thickness(mm),Total Zn/AlZn Coating,Op Width,Speed(mpm),Productivity(TPH)
2414VJZ000,GI,ZAP130,Appliance,11.07,11.228,1825.5,2811270.0,366910092.78000003,19.0,0.502,0.5203,130.514,1540,96.079,35.457
24178S1000,GI,ZAP221,Appliance,15.659,14.94,2690.014,3792919.74,485493726.72,10.0,0.526,0.5439,128.0,1410,269.001,89.64
24178S2000,GI,ZAP221,Appliance,10.691,10.2,1836.556,2589543.96,331461626.88,10.0,0.526,0.5439,128.0,1410,183.656,61.2
2422XK1000,GI,ZSP401,Other,2.81,2.72,288.747,346496.4,180178128.0,19.0,1.033,1.1058,520.0,1200,15.197,8.589
2422XKZ000,GI,ZST935,Retail,20.57,21.795,2265.7,2718840.0,1440348991.4399998,24.0,0.964,1.0382,529.766,1200,94.404,54.488
2425VH1000,GI,ZGN110,Retail,8.051,8.081,1426.589,1283930.0999999999,112985848.79999998,18.0,0.799,0.8113,88.0,900,79.255,26.937
2425VH2000,GI,ZGN110,Retail,6.129,6.152,1086.051,977445.8999999999,86015239.19999999,13.0,0.799,0.8113,88.0,900,83.542,28.394
2425WJ1000,GI,ZGN110,Retail,8.04,8.08,1464.8,1318320.0,123713785.44,13.0,0.777,0.7901,93.842,900,112.677,37.292
2425WJ2000,GI,ZGN110,Retail,7.18,7.215,1306.4,1175760.0,103565643.84,11.0,0.778,0.7903,88.084,900,118.764,39.355
24308R1000,GI,ZPK001,Other,5.76,5.74,1092.01,1218683.16,107244118.08,12.0,0.602,0.6143,88.0,1116,91.001,28.7
24308RZ100,GI,ZPK001,Other,6.384,6.462,1200.0,1339200.0,117849600.0,11.0,0.607,0.6193,88.0,1116,109.091,35.247
24308RZ200,GI,ZPK001,Other,7.756,7.85,1450.0,1618200.0,142401600.0,13.0,0.611,0.6233,88.0,1116,111.538,36.231
24326C0000,GI,ZSP401,Other,23.45,22.408,2001.769,2482193.56,868767746.0,21.0,1.203,1.252,350.0,1240,95.322,64.023
2433BS0000,PPGL,LID955,Other,24.53,24.697,3962.5,5706000.0,451327481.99999994,32.0,0.548,0.5691,79.097,1440,123.828,46.307
2433XP1000,GI,ZAP221,Appliance,13.686,13.859,1360.0,2108000.0,269824000.0,18.0,0.827,0.8449,128.0,1550,75.556,46.197
2433XP2000,GI,ZAP221,Appliance,14.204,14.383,1472.853,2282922.15,292214035.2,18.0,0.793,0.8109,128.0,1550,81.825,47.943
2433ZN0000,GI,ZAP130,Appliance,27.66,26.91,4579.86,6846890.699999999,821626883.9999999,20.0,0.515,0.5318,120.0,1495,228.993,80.73
24346Q1000,GI,ZST935,Retail,9.492,9.845,1425.3,1372563.9,412596826.03169996,19.0,0.881,0.9231,300.603,963,75.016,31.089
24346Q2000,GI,ZST935,Retail,7.828,8.119,1176.7,1133162.1,334586506.9428,16.0,0.88,0.9214,295.268,963,73.544,30.446
24346W1000,GI,ZAP130,Appliance,11.579,10.908,1034.7,1169211.0,154024841.874,12.0,1.262,1.2805,131.734,1130,86.225,54.54
24346W2000,GI,ZAP130,Appliance,8.871,8.357,793.7,896881.0,116552376.59300001,13.0,1.26,1.2782,129.953,1130,61.054,38.571
2434AB1000,GI,ZSP001,Other,13.574,13.636,550.0,836000.0,239932000.0,9.0,2.068,2.1082,287.0,1520,61.111,90.907
2434AB2000,GI,ZSP001,Other,10.996,11.046,462.265,702642.7999999999,201658483.6,8.0,1.994,2.0342,287.0,1520,57.783,82.845
2434AU1000,GI,ZGN110,Retail,12.701,11.471,416.911,583675.4,70041048.0,10.0,2.772,2.7888,120.0,1400,41.691,68.826
2434AU2000,GI,ZGN110,Retail,12.689,11.46,416.511,583115.4,69973848.0,9.0,2.772,2.7888,120.0,1400,46.279,76.4
2434DG1000,GI,ZAP130,Appliance,12.387,11.922,867.0,953700.0,122364478.5,9.0,1.655,1.673,128.305,1100,96.333,79.48
2434DG2000,GI,ZAP130,Appliance,9.623,9.261,674.3,741730.0,91438249.21,9.0,1.653,1.6703,123.277,1100,74.922,61.74
