Op Batch No,Actual Product,Order Tdc,Segment,Prop Ip Wt,O/P Wt,Total Length,Area,Zinc,Process Duration(in min),CRFH thickness(mm),GP thickness(mm),Total Zn/AlZn Coating,Op Width,Speed(mpm),Productivity(TPH)
2414VJZ000,GI,ZAP130,Appliance,11.07,11.228,1825.5,2811.27,0.367,19.0,0.001,0.0193,130.514,1540,96.079,35.457
24178S1000,GI,ZAP221,Appliance,15.659,14.94,2690.014,3792.92,0.485,10.0,0.001,0.0189,128.0,1410,269.001,89.64
24178S2000,GI,ZAP221,Appliance,10.691,10.2,1836.556,2589.54,0.331,10.0,0.001,0.0189,128.0,1410,183.656,61.2
2422XK1000,GI,ZST935,Retail,2.81,2.72,288.747,346.5,0.18,19.0,0.001,0.0738,520.0,1200,15.197,8.589
2422XKZ000,GI,ZST935,Retail,20.57,21.795,2265.7,2718.84,1.44,24.0,0.001,0.0752,529.766,1200,94.404,54.488
2425VH1000,GI,ZGN110,Retail,8.051,8.081,1426.589,1283.93,0.113,18.0,0.001,0.0133,88.0,900,79.255,26.937
2425VH2000,GI,ZGN110,Retail,6.129,6.152,1086.051,977.45,0.086,13.0,0.001,0.0133,88.0,900,83.542,28.394
2425WJ1000,GI,ZGN110,Retail,8.04,8.08,1464.8,1318.32,0.124,13.0,0.001,0.0141,93.842,900,112.677,37.292
2425WJ2000,GI,ZGN110,Retail,7.18,7.215,1306.4,1175.76,0.104,11.0,0.001,0.0133,88.084,900,118.764,39.355
24308R1000,GI,ZPK001,Other,5.76,5.74,1092.01,1218.68,0.107,12.0,0.001,0.0133,88.0,1116,91.001,28.7
24308RZ100,GI,ZPK001,Other,6.384,6.462,1200.0,1339.2,0.118,11.0,0.001,0.0133,88.0,1116,109.091,35.247
24308RZ200,GI,ZPK001,Other,7.756,7.85,1450.0,1618.2,0.142,13.0,0.001,0.0133,88.0,1116,111.538,36.231
24326C0000,GI,ZST935,Retail,23.45,22.408,2001.769,2482.19,0.869,21.0,0.001,0.05,350.0,1240,95.322,64.023
2433BS0000,PPGL,LID955,Other,24.53,24.697,3962.5,5706.0,0.451,32.0,0.001,0.0221,79.097,1440,123.828,46.307
2433XP1000,GI,ZAP221,Appliance,13.686,13.859,1360.0,2108.0,0.27,18.0,0.001,0.0189,128.0,1550,75.556,46.197
2433XP2000,GI,ZAP221,Appliance,14.204,14.383,1472.853,2282.92,0.292,18.0,0.001,0.0189,128.0,1550,81.825,47.943
2433ZN0000,GI,ZAP130,Appliance,27.66,26.91,4579.86,6846.89,0.822,20.0,0.001,0.0178,120.0,1495,228.993,80.73
24346Q1000,GI,ZST935,Retail,9.492,9.845,1425.3,1372.56,0.413,19.0,0.001,0.0431,300.603,963,75.016,31.089
24346Q2000,GI,ZST935,Retail,7.828,8.119,1176.7,1133.16,0.335,16.0,0.001,0.0424,295.268,963,73.544,30.446
24346W1000,GI,ZAP130,Appliance,11.579,10.908,1034.7,1169.21,0.154,12.0,0.001,0.0195,131.734,1130,86.225,54.54
24346W2000,GI,ZAP130,Appliance,8.871,8.357,793.7,896.88,0.117,13.0,0.001,0.0192,129.953,1130,61.054,38.571
2434AB1000,GI,ZPL110,Panel,13.574,13.636,550.0,836.0,0.24,9.0,0.002,0.0422,287.0,1520,61.111,90.907
2434AB2000,GI,ZPL110,Panel,10.996,11.046,462.265,702.64,0.202,8.0,0.002,0.0422,287.0,1520,57.783,82.845
2434AU1000,GI,ZGN110,Retail,12.701,11.471,416.911,583.68,0.07,10.0,0.003,0.0198,120.0,1400,41.691,68.826
2434AU2000,GI,ZGN110,Retail,12.689,11.46,416.511,583.12,0.07,9.0,0.003,0.0198,120.0,1400,46.279,76.4
2434DG1000,GI,ZAP130,Appliance,12.387,11.922,867.0,953.7,0.122,9.0,0.002,0.02,128.305,1100,96.333,79.48
2434DG2000,GI,ZAP130,Appliance,9.623,9.261,674.3,741.73,0.091,9.0,0.002,0.0193,123.277,1100,74.922,61.74
2434LY1000,GI,ZPK001,Other,13.03,12.99,1695.468,2068.47,0.182,18.0,0.001,0.0133,88.0,1220,94.193,43.3
2434NP1000,GI,ZGN110,Retail,11.029,11.09,1619.4,2024.25,0.179,16.0,0.001,0.0134,88.541,1250,101.212,41.588
2434NP2000,GI,ZGN110,Retail,10.351,10.409,1520.0,1900.0,0.166,15.0,0.001,0.0132,87.428,1250,101.333,41.636
2434PS1000,GI,ZTU110,P&T,15.027,14.929,693.9,971.46,0.087,9.0,0.002,0.0146,89.737,1400,77.1,99.527
2434PS2000,GI,ZTU110,P&T,12.483,12.401,576.8,807.52,0.075,9.0,0.002,0.015,93.084,1400,64.089,82.673
2434RN1000,GI,ZTU110,P&T,15.048,14.978,695.9,974.26,0.095,10.0,0.002,0.0157,97.737,1400,69.59,89.868
2434RN2000,GI,ZTU110,P&T,12.362,12.305,572.8,801.92,0.071,8.0,0.002,0.0143,88.071,1400,71.6,92.288
2434RX1000,GI,ZPL130,Panel,8.277,8.25,680.5,694.11,0.088,8.0,0.002,0.0197,126.271,1020,85.062,61.875
2434RX2000,GI,ZPL130,Panel,9.403,9.372,771.4,786.83,0.1,11.0,0.002,0.0198,126.88,1020,70.127,51.12
2434SS1000,GI,ZGN110,Retail,13.961,13.831,593.9,890.85,0.082,8.0,0.002,0.0149,92.405,1500,74.238,103.732
2434SS2000,GI,ZGN110,Retail,13.549,13.422,576.1,864.15,0.08,9.0,0.002,0.0149,92.377,1500,64.011,89.48
2434US1000,GI,ZPK001,Other,10.658,8.075,1124.221,1371.55,0.121,21.0,0.001,0.0133,88.0,1220,53.534,23.071
2434US2000,GI,ZPK001,Other,3.867,2.93,407.922,497.66,0.044,5.0,0.001,0.0133,88.0,1220,81.584,35.16
2434US3000,GI,ZPK001,Other,7.075,5.36,746.232,910.4,0.08,10.0,0.001,0.0133,88.0,1220,74.623,32.16
2434UX1000,GI,ZGN110,Retail,11.435,11.405,1160.436,1450.54,0.128,12.0,0.001,0.0133,88.0,1250,96.703,57.025
2434UX2000,GI,ZGN110,Retail,11.665,11.635,1183.838,1479.8,0.13,16.0,0.001,0.0133,88.0,1250,73.99,43.631
2434VC1000,GI,ZPL110,Panel,13.593,13.651,560.0,851.2,0.244,9.0,0.002,0.0422,287.0,1520,62.222,91.007
2434VC2000,GI,ZPL110,Panel,10.927,10.974,440.0,668.8,0.192,8.0,0.002,0.0422,287.0,1520,55.0,82.305
2434VM1000,GI,ZST935,Retail,9.904,9.917,1063.0,1023.67,0.131,9.0,0.001,0.0189,128.0,963,118.111,66.113
2434VM2000,GI,ZST935,Retail,7.416,7.426,790.0,760.77,0.097,15.0,0.001,0.0189,128.0,963,52.667,29.704
2434VP1000,GI,ZGN110,Retail,10.952,11.089,1940.7,2425.88,0.222,18.0,0.001,0.0138,91.421,1250,107.817,36.963
2434VP2000,GI,ZGN110,Retail,10.548,10.68,1871.6,2339.5,0.212,18.0,0.001,0.0137,90.715,1250,103.978,35.6
2434VZ1000,GI,ZGN110,Retail,10.187,10.191,1074.9,1311.38,0.12,12.0,0.001,0.0138,91.374,1220,89.575,50.955
2434VZ2000,GI,ZGN110,Retail,10.393,10.397,1096.0,1337.12,0.121,12.0,0.001,0.0136,90.139,1220,91.333,51.985
2434WA1000,GI,ZST935,Retail,9.495,9.834,1428.1,1375.26,0.401,18.0,0.001,0.0419,291.9,963,79.339,32.78
2434WA2000,GI,ZST935,Retail,7.655,7.929,1150.4,1107.84,0.327,16.0,0.001,0.0423,295.126,963,71.9,29.734
2434WX1000,GI,ZST935,Retail,9.86,9.915,1076.1,1036.28,0.133,11.0,0.001,0.0189,127.914,963,97.827,54.082
2434WX2000,GI,ZST935,Retail,7.86,7.904,857.4,825.68,0.105,10.0,0.001,0.0188,127.323,963,85.74,47.424
2434XA0000,GI,ZST935,Retail,17.27,17.682,1919.5,1848.48,0.549,25.0,0.001,0.0426,296.963,963,76.78,42.437
2434YJ0000,GI,ZTU110,P&T,22.17,22.109,1450.5,1813.12,0.162,20.0,0.002,0.0145,89.486,1250,72.525,66.327
2434YM1000,GI,ZST935,Retail,8.466,8.757,1270.2,1223.2,0.358,15.0,0.001,0.0419,292.288,963,84.68,35.028
2434YM2000,GI,ZST935,Retail,6.614,6.842,992.1,955.39,0.282,14.0,0.001,0.0423,294.713,963,70.864,29.323
2434YSZ100,GI,ZPK001,Other,7.371,7.303,1522.616,1857.59,0.163,13.0,0.001,0.0133,88.0,1220,117.124,33.706
2434YSZ200,GI,ZPK001,Other,6.529,6.468,1348.525,1645.2,0.145,10.0,0.001,0.0133,88.0,1220,134.853,38.808
2434YU1000,GI,ZST935,Retail,9.509,9.852,1426.7,1373.91,0.403,18.0,0.001,0.0421,293.223,963,79.261,32.84
2434YU2000,GI,ZST935,Retail,8.001,8.29,1202.1,1157.62,0.328,15.0,0.001,0.0407,283.392,963,80.14,33.16
2434ZB1000,GI,ZST935,Retail,9.893,9.914,1076.1,1036.28,0.131,11.0,0.001,0.0187,126.428,963,97.827,54.076
2434ZB2000,GI,ZST935,Retail,7.377,7.393,802.3,772.61,0.098,9.0,0.001,0.0187,126.467,963,89.144,49.287
2434ZC1000,GI,ZST935,Retail,9.867,9.913,1062.0,1022.71,0.131,12.0,0.001,0.0189,128.0,963,88.5,49.565
2434ZC2000,GI,ZST935,Retail,7.303,7.337,790.0,760.77,0.097,12.0,0.001,0.0189,128.0,963,65.833,36.685
2434ZK1000,GI,ZST935,Retail,9.871,9.918,1076.2,1036.38,0.134,11.0,0.001,0.0191,129.218,963,97.836,54.098
2434ZK2000,GI,ZST935,Retail,7.239,7.273,789.6,760.38,0.098,9.0,0.001,0.019,128.521,963,87.733,48.487
2434ZP1000,GI,ZST935,Retail,9.867,9.908,1076.6,1036.77,0.131,12.0,0.001,0.0186,125.967,963,89.717,49.54
2434ZP2000,GI,ZST935,Retail,7.283,7.313,794.3,764.91,0.097,9.0,0.001,0.0187,126.697,963,88.256,48.753
2434ZU1000,GI,ZST935,Retail,9.889,9.917,1076.1,1036.28,0.133,11.0,0.001,0.0189,127.885,963,97.827,54.093
2434ZU2000,GI,ZST935,Retail,7.411,7.432,806.3,776.47,0.1,9.0,0.001,0.019,128.609,963,89.589,49.547
24350B1000,GI,ZAP130,Appliance,11.372,11.833,1635.3,1864.24,0.544,14.0,0.001,0.0419,292.029,1140,116.807,50.713
24350B2000,GI,ZAP130,Appliance,9.138,9.508,1317.4,1501.84,0.429,12.0,0.001,0.041,285.646,1140,109.783,47.54
24352L1000,GI,ZST935,Retail,7.987,7.362,797.4,767.9,0.104,10.0,0.001,0.02,135.9,963,79.74,44.172
